ticker,name,aliases,market,sector,industry,enabled
005930,삼성전자,Samsung Electronics|삼성전자㈜,KOSPI,반도체,반도체 제조,1
000660,SK하이닉스,SK hynix|에스케이하이닉스,KOSPI,반도체,메모리 반도체,1
010120,LS ELECTRIC,LS일렉트릭|엘에스일렉트릭,KOSPI,전력기기,전력 인프라,1
118990,모트렉스,,KOSDAQ,자동차부품,차량 전장,1
396270,넥스트칩,,KOSDAQ,반도체,차량용 반도체,1
046970,우리로,,KOSDAQ,통신장비,광통신·양자통신,1
115500,케이씨에스,KCS,KOSDAQ,IT서비스,보안·양자암호,1
356680,엑스게이트,,KOSDAQ,보안,네트워크·양자보안,1
112610,씨에스윈드,CS윈드,KOSPI,풍력,풍력타워,1
100090,SK오션플랜트,에스케이오션플랜트,KOSPI,조선기자재,해상풍력 하부구조물,1
034020,두산에너빌리티,두산중공업,KOSPI,기계,발전·원전설비,1
052690,한전기술,한국전력기술,KOSPI,전력,원전 설계,1
013990,아가방컴퍼니,,KOSDAQ,의류,영유아용품,1
407400,꿈비,,KOSDAQ,생활용품,유아용품,1
000720,현대건설,,KOSPI,건설,건설·인프라,1
317850,대모,,KOSDAQ,기계,건설기계,1
012450,한화에어로스페이스,한화에어로,KOSPI,방산,항공우주·방산,1
079550,LIG넥스원,엘아이지넥스원,KOSPI,방산,유도무기·방산,1
277810,레인보우로보틱스,,KOSDAQ,로봇,로봇 플랫폼,1
108490,로보티즈,,KOSDAQ,로봇,로봇 액추에이터,1
009830,한화솔루션,,KOSPI,화학,태양광,1
